# URL: https://s.nosec.me/clash/openai.txt
# Name: openai
# Updated: Wed Apr 29 03:34:37 UTC 2026
# Total: 14

DOMAIN-REGEXP,^chatgpt-async-webps-prod-\S+-\d+\.webpubsub\.azure\.com$
DOMAIN-SUFFIX,chat.com
DOMAIN-SUFFIX,chatgpt.com
DOMAIN-SUFFIX,chatgpt.livekit.cloud
DOMAIN-SUFFIX,crixet.com
DOMAIN-SUFFIX,host.livekit.cloud
DOMAIN-SUFFIX,oaistatic.com
DOMAIN-SUFFIX,oaiusercontent.com
DOMAIN-SUFFIX,openai.com
DOMAIN-SUFFIX,openai.com.cdn.cloudflare.net
DOMAIN-SUFFIX,sora.com
DOMAIN-SUFFIX,turn.livekit.cloud
DOMAIN,browser-intake-datadoghq.com
DOMAIN,o33249.ingest.sentry.io
